trait,description
BXD_22929,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU58 (Bacteroidetes;Bacteroidales;S24-7) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22930,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU580 (1;) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22931,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU581 (Firmicutes;Clostridiales;Lachnospiraceae;[Ruminococcus]gnavus) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22932,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU582 (Firmicutes;Lactobacillales;Lactobacillaceae;Lactobacillus0.65) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22933,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU583 (Firmicutes;Clostridiales;Lachnospiraceae;[Ruminococcus]gnavus) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22934,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU584 (Firmicutes;Clostridiales;0.97) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22935,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU585 (Firmicutes;Lactobacillales;Lactobacillaceae;0.81) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22936,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU586 (Proteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter0.73) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22937,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU587 (Firmicutes;Clostridiales;Clostridiaceae;Clostridiumperfringens) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22938,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU588 (Actinobacteria;Coriobacteriales;Coriobacteriaceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22939,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU589 (Firmicutes;Clostridiales;0.65) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22940,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU59 (Firmicutes;Clostridiales;Ruminococcaceae;1) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22941,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU590 (Bacteroidetes;Bacteroidales;S24-7) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22942,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU591 (Firmicutes;Clostridiales;Ruminococcaceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22943,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU592 (Firmicutes;Clostridiales;0.99) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22944,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU593 (Firmicutes;Clostridiales;0.98) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22945,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU594 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22946,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU595 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22947,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU596 (Proteobacteria;Burkholderiales;Comamonadaceae;1) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22948,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU597 (Bacteroidetes;Bacteroidales;S24-7) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22949,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU598 (Proteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter0.99) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22950,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU599 (0.96;) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22951,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU6 (Firmicutes;Clostridiales) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22952,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU60 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22953,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU600 (Firmicutes;Clostridiales) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22954,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU601 (Firmicutes;Clostridiales;Lachnospiraceae;0.75) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22955,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU602 (Bacteroidetes;Bacteroidales;Porphyromonadaceae;Parabacteroides) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22956,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU603 (Firmicutes;Clostridiales;Ruminococcaceae;Ruminococcus) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22957,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU604 (Firmicutes;Clostridiales;Ruminococcaceae;Ruminococcus) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22958,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU605 (Firmicutes;Clostridiales;Lachnospiraceae;[Ruminococcus]) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22959,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU606 (OD1;) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22960,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU607 (Firmicutes;Clostridiales;Clostridiaceae;Clostridiumbutyricum) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22961,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU608 (Firmicutes;Clostridiales;Ruminococcaceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22962,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU609 (Bacteroidetes;Sphingobacteriales;Sphingobacteriaceae;Pedobacter) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22963,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU61 (Bacteroidetes;Bacteroidales;S24-7) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22964,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU62 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22965,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU63 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22966,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU64 (Firmicutes;Clostridiales;0.92) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22967,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU65 (Actinobacteria;Coriobacteriales;Coriobacteriaceae;Adlercreutzia) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22968,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU66 (Firmicutes;Clostridiales;Ruminococcaceae;Oscillospira) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22969,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU67 (Firmicutes;Clostridiales;Lachnospiraceae;Roseburia) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22970,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU68 (Proteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22971,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU69 (Firmicutes;Clostridiales;Lachnospiraceae;[Ruminococcus]gnavus) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22972,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU7 (Firmicutes;Lactobacillales;Lactobacillaceae;Lactobacillusreuteri) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22973,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU70 (Proteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22974,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU71 (Firmicutes;Clostridiales) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22975,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU72 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22976,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU73 (Firmicutes;Clostridiales) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22977,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU74 (Firmicutes;Clostridiales) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22978,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU75 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22979,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU76 (Bacteroidetes;Bacteroidales;S24-7) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22980,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU77 (Firmicutes;Clostridiales;Ruminococcaceae;Oscillospira) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22981,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU78 (Firmicutes;Clostridiales) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22982,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU79 (Firmicutes;Clostridiales;Lachnospiraceae;[Ruminococcus]gnavus) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22983,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU8 (Firmicutes;Clostridiales;Ruminococcaceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22984,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU80 (Actinobacteria;Coriobacteriales;Coriobacteriaceae;Adlercreutzia) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
